Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14895;991;11;1
Rust(Stadt);102;2000;77;0;0
Eisenstadt-Umgebung;103;43861;2397;25;3
Güssing;104;25770;1843;57;5
Jennersdorf;105;17109;1308;26;3
Mattersburg;106;40316;2311;34;3
Neusiedl am See;107;60397;3288;42;6
Oberpullendorf;108;37453;2242;41;0
Oberwart;109;54209;3688;95;2
Klagenfurt Stadt;201;101765;6309;159;21
Villach Stadt;202;63236;3944;68;6
Hermagor;203;18052;1889;30;1
Klagenfurt Land;204;60503;4210;67;10
Sankt Veit an der Glan;205;53880;3983;100;2
Spittal an der Drau;206;75628;5855;124;10
Villach Land;207;64920;4478;87;26
Völkermarkt;208;41834;3708;62;3
Wolfsberg;209;52488;3500;73;5
Feldkirchen;210;29783;2413;52;0
Krems an der Donau(Stadt);301;24837;1408;31;2
Sankt Pölten(Stadt);302;55878;3947;59;16
Waidhofen an der Ybbs(Stadt);303;11134;915;14;1
Wiener Neustadt(Stadt);304;46456;3912;88;11
Amstetten;305;116592;10060;133;13
Baden;306;147113;10014;132;32
Bruck an der Leitha;307;105507;6189;94;22
Gänserndorf;308;105824;6067;72;29
Gmünd;309;36275;2752;44;5
Hollabrunn;310;51332;2652;53;8
Horn;311;30838;1542;27;4
Korneuburg;312;91777;4403;51;14
Krems(Land);313;56559;3330;41;5
Lilienfeld;314;25474;1701;50;4
Melk;315;78281;5808;102;11
Mistelbach;316;75655;3792;34;8
Mödling;317;119240;6484;124;25
Neunkirchen;318;86323;5994;102;11
Sankt Pölten(Land);319;132064;8037;141;19
Scheibbs;320;41567;3793;44;5
Tulln;321;105762;5466;87;10
Waidhofen an der Thaya;322;25531;1684;14;0
Wiener Neustadt(Land);323;79033;5301;96;8
Zwettl;325;41827;3355;39;3
Linz(Stadt);401;206537;13949;223;65
Steyr(Stadt);402;37952;2478;20;6
Wels(Stadt);403;62654;5676;82;20
Braunau am Inn;404;106492;9281;111;13
Eferding;405;33368;2814;37;6
Freistadt;406;66922;5548;93;6
Gmunden;407;102102;7858;113;11
Grieskirchen;408;65137;5247;75;19
Kirchdorf an der Krems;409;57163;4274;84;23
Linz-Land;410;152391;10273;91;48
Perg;411;69241;5902;77;6
Ried im Innkreis;412;61850;6012;102;8
Rohrbach;413;56623;5123;97;0
Schärding;414;57438;5335;73;4
Steyr-Land;415;60936;4330;71;17
Urfahr-Umgebung;416;86235;6146;76;10
Vöcklabruck;417;137993;11561;162;14
Wels-Land;418;74574;5727;64;16
Salzburg(Stadt);501;155416;11761;144;27
Hallein;502;60992;6717;65;7
Salzburg-Umgebung;503;154624;12445;125;32
Sankt Johann im Pongau;504;81392;9613;114;35
Tamsweg;505;20118;2493;43;1
Zell am See;506;88168;7363;106;103
Graz(Stadt);601;291134;16441;312;89
Deutschlandsberg;603;60871;4089;112;12
Graz-Umgebung;606;157853;8883;251;75
Leibnitz;610;85294;5941;112;16
Leoben;611;59151;3368;113;4
Liezen;612;79592;5461;114;6
Murau;614;27449;1995;30;1
Voitsberg;616;50947;3451;120;23
Weiz;617;90916;6223;147;7
Murtal;620;71356;5125;173;6
Bruck-Mürzzuschlag;621;98054;6115;249;4
Hartberg-Fürstenfeld;622;90619;7407;186;7
Südoststeiermark;623;83841;6040;172;3
Innsbruck-Stadt;701;131059;9860;98;26
Imst;702;60922;5502;39;8
Innsbruck-Land;703;181698;13987;136;28
Kitzbühel;704;64676;4498;43;6
Kufstein;705;111080;9427;138;18
Landeck;706;44346;3704;49;3
Lienz;707;48814;5386;47;56
Reutte;708;33054;2062;6;23
Schwaz;709;84456;9018;132;5
Bludenz;801;64368;4257;48;5
Bregenz;802;135310;9979;107;42
Dornbirn;803;90502;7764;76;16
Feldkirch;804;109057;8352;76;21
Wien;900;1920949;140058;2362;759